,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
osa-miR2925,0.0,-8.684,-0.0,0.031,0.005,0.176,-0.01,-2.18,-0.111,-3.339,-1.598,0.149,-0.899,-0.002,0.176,0.104,-3.319,0.004,0.055,-0.012,0.149,-0.124,0.0,6.005,-0.002,-0.154,-0.001,-0.063,-0.107,-2.921,0.093,7.728,-2.721,0.033,0.962,-0.005,-0.063,0.072,4.011,-0.003,0.037,-0.032,-0.004,0.706,0.0,18.121,-0.007,0.082,-0.005,0.0,0.169,0.202,-0.092,8.196,-0.974,0.035,3.113,-0.03,0.0,0.171,8.933,-0.005,0.217,-0.026,0.09,1.874
osa-miR2926,0.037,-11.776,-0.0,0.049,0.001,0.059,0.019,-3.722,-0.148,-1.336,0.038,0.049,-1.739,0.001,-0.019,-0.038,-2.87,0.002,-0.068,-0.002,-0.077,-0.461,-0.02,-18.436,0.002,-0.065,-0.003,-0.167,-0.124,-0.308,0.036,-7.958,-2.468,-0.124,-3.098,0.009,-0.15,-0.233,-13.545,-0.004,-0.217,0.011,-0.225,-2.597,-0.021,2.719,-0.001,0.056,-0.002,0.014,0.09,3.062,0.094,-5.281,-3.133,0.028,0.016,0.047,0.146,-0.037,-6.807,-0.003,-0.038,0.047,0.153,-1.201
osa-miR2927,0.061,-5.99,0.002,0.197,0.002,0.141,0.095,-1.445,-0.062,-0.939,-0.05,0.059,-0.278,0.0,0.032,0.095,-1.007,0.005,0.083,0.002,0.039,0.217,-0.086,7.475,0.006,-0.043,-0.002,-0.055,0.05,-1.762,-0.055,-3.479,-1.637,-0.064,1.294,0.004,-0.033,0.048,3.917,-0.002,0.054,-0.001,-0.098,1.02,-0.038,16.534,0.01,-0.068,0.003,0.048,0.211,2.788,0.05,0.135,-1.461,0.063,2.632,0.038,0.175,0.142,11.357,0.004,0.133,0.036,0.12,2.082
osa-miR2928,0.225,-1.67,0.006,0.062,0.012,0.37,0.327,-1.611,-0.002,-0.457,-0.026,0.537,0.365,0.002,0.0,0.091,3.85,0.014,0.094,0.007,0.074,0.893,0.222,0.672,0.002,0.007,0.006,0.353,0.111,-0.641,-0.175,-0.229,0.258,0.333,0.463,0.011,-0.033,0.086,7.455,0.008,0.069,0.019,0.059,1.338,0.281,19.984,0.0,0.069,0.004,0.396,0.111,4.089,0.109,-0.896,0.671,0.229,2.666,0.016,0.118,0.114,11.334,0.006,0.083,0.033,0.104,1.831
osa-miR2929,0.38,-1.706,0.003,0.089,0.01,0.335,0.305,-0.839,0.031,-0.069,0.556,0.269,0.42,-0.001,0.285,0.257,5.543,0.014,0.183,0.008,0.208,1.622,0.067,6.579,-0.001,0.047,0.003,0.076,0.161,0.437,-0.259,-2.863,-1.36,0.099,1.015,-0.004,0.079,0.044,-5.677,0.005,0.053,0.002,0.041,-0.478,-0.133,6.33,-0.005,0.0,0.001,-0.146,-0.006,0.676,-0.076,-2.418,-1.42,0.046,1.316,0.003,-0.034,0.109,8.284,0.001,0.081,0.021,0.031,1.635
osa-miR2930,0.0,-9.118,0.003,0.068,0.008,0.227,0.041,-2.824,-0.065,-3.417,-0.207,0.224,-0.857,-0.001,0.249,0.09,-7.129,0.006,0.067,-0.022,0.19,-0.693,0.0,12.271,0.007,-0.088,0.007,0.188,0.05,1.173,0.025,2.017,3.41,0.171,1.748,-0.004,0.162,0.001,1.819,0.005,0.057,-0.001,0.064,0.072,0.0,-33.275,0.002,-0.155,0.009,0.198,0.008,1.007,-0.117,-10.155,0.565,0.165,-5.536,0.005,0.118,-0.272,-24.918,0.008,-0.296,-0.003,-0.023,-4.458
osa-miR2932,-0.014,5.303,-0.002,0.284,-0.001,0.035,0.073,-2.182,-0.035,-0.246,0.324,0.1,1.584,0.0,0.076,0.24,3.173,-0.001,0.212,0.001,0.232,1.194,-0.14,9.493,-0.004,-0.011,-0.006,-0.103,-0.029,0.863,-0.089,-2.176,-2.176,-0.048,1.494,0.0,-0.029,0.022,-2.721,-0.008,0.007,0.008,-0.07,-0.121,0.02,7.667,0.004,-0.012,0.008,0.075,-0.055,-1.384,-0.038,-3.231,-2.934,-0.082,0.992,0.0,0.035,0.039,9.707,0.012,-0.008,0.013,-0.075,1.766
gma-miR162b,0.266,-9.493,-0.001,0.127,0.01,0.241,0.108,-0.195,0.065,-0.38,0.219,0.064,-0.881,0.001,0.05,0.155,6.118,0.016,0.081,0.011,0.155,1.363,0.003,-13.192,-0.001,-0.102,0.0,-0.091,0.038,0.006,0.016,0.556,-0.025,-0.099,-2.416,0.03,-0.047,-0.117,1.358,0.0,-0.141,0.005,-0.12,-0.092,-0.022,-12.368,-0.001,-0.05,-0.005,-0.062,0.019,-1.393,-0.061,0.108,2.695,-0.046,-2.076,0.018,-0.037,-0.167,-4.839,-0.007,-0.113,-0.025,-0.13,-1.385
gma-miR162c,0.266,-9.493,-0.001,0.127,0.01,0.241,0.108,-0.195,0.065,-0.38,0.219,0.064,-0.881,0.001,0.05,0.155,6.118,0.016,0.081,0.011,0.155,1.363,0.003,-13.192,-0.001,-0.102,0.0,-0.091,0.038,0.006,0.016,0.556,-0.025,-0.099,-2.416,0.03,-0.047,-0.117,1.358,0.0,-0.141,0.005,-0.12,-0.092,-0.022,-12.368,-0.001,-0.05,-0.005,-0.062,0.019,-1.393,-0.061,0.108,2.695,-0.046,-2.076,0.018,-0.037,-0.167,-4.839,-0.007,-0.113,-0.025,-0.13,-1.385
gma-miR167j,0.091,-17.605,-0.002,0.091,0.004,0.155,0.058,-0.649,0.017,-0.972,-0.617,0.086,-2.413,-0.004,-0.014,0.017,-4.736,0.007,-0.039,-0.007,0.05,-0.662,-0.096,-7.889,0.0,-0.126,-0.005,-0.053,-0.012,-0.281,0.035,2.693,0.467,-0.02,-1.722,-0.01,-0.152,-0.17,-4.543,-0.009,-0.202,0.003,-0.111,-1.262,0.019,27.55,0.002,0.043,-0.004,0.068,-0.071,-0.174,0.049,3.505,0.688,-0.022,4.7,-0.041,0.074,0.247,4.463,-0.008,0.308,-0.021,0.176,1.41
gma-miR171k-5p,0.139,-14.065,-0.003,0.028,0.003,0.141,0.166,-1.208,-0.131,-0.233,0.04,0.127,-1.78,-0.001,0.18,0.012,-3.477,0.004,-0.009,0.0,0.036,-0.46,-0.108,5.099,-0.003,-0.026,-0.005,-0.167,-0.035,-0.816,-0.126,-3.257,-1.011,-0.199,0.555,-0.003,0.064,-0.091,-5.767,-0.007,-0.042,0.0,-0.135,-0.85,-0.149,33.579,0.002,0.031,-0.004,-0.167,-0.084,1.797,0.121,-2.146,-1.025,-0.111,5.693,0.011,0.186,0.415,23.213,-0.003,0.337,0.041,0.211,4.735
gma-miR171k-5p,0.139,-14.065,-0.003,0.028,0.003,0.141,0.166,-1.208,-0.131,-0.233,0.04,0.127,-1.78,-0.001,0.18,0.012,-3.477,0.004,-0.009,0.0,0.036,-0.46,-0.108,5.099,-0.003,-0.026,-0.005,-0.167,-0.035,-0.816,-0.126,-3.257,-1.011,-0.199,0.555,-0.003,0.064,-0.091,-5.767,-0.007,-0.042,0.0,-0.135,-0.85,-0.149,33.579,0.002,0.031,-0.004,-0.167,-0.084,1.797,0.121,-2.146,-1.025,-0.111,5.693,0.011,0.186,0.415,23.213,-0.003,0.337,0.041,0.211,4.735
gma-miR319c,0.136,-9.161,-0.001,0.216,0.012,0.506,0.049,0.812,-0.092,-0.667,0.113,0.093,-1.213,-0.001,0.228,0.019,-0.79,0.018,-0.019,0.005,0.019,-0.011,-0.15,-16.06,0.001,0.052,0.0,0.196,-0.127,-1.934,-0.031,-0.912,1.984,-0.056,-2.859,-0.008,-0.065,-0.301,-8.156,-0.002,-0.224,-0.032,-0.206,-2.141,-0.097,-13.201,0.002,-0.007,-0.006,0.111,-0.08,-1.475,-0.017,-1.781,0.415,-0.059,-1.872,-0.031,0.028,-0.086,-13.101,-0.011,-0.041,-0.046,-0.01,-2.074
gma-miR1510b-5p,0.195,-0.714,-0.003,0.075,0.001,0.142,0.225,-0.652,0.066,-0.1,0.491,0.045,0.539,0.002,0.375,0.234,8.436,0.001,0.162,0.013,0.188,1.911,-0.058,-3.756,-0.003,0.026,-0.001,-0.013,0.047,2.412,-0.064,-1.0,-0.833,-0.058,-1.01,0.004,0.079,-0.146,-8.26,-0.002,-0.149,0.008,-0.145,-1.533,-0.006,-15.292,0.003,0.139,0.005,0.203,0.072,1.43,0.062,-1.611,-2.391,-0.006,-2.35,0.002,-0.028,-0.134,3.736,0.008,-0.126,0.003,-0.125,0.161
gma-miR4397-5p,0.06,-10.985,-0.001,0.05,0.0,-0.01,0.05,-3.596,-0.01,-1.563,-0.103,0.09,-1.527,-0.002,-0.025,-0.005,-2.987,0.001,-0.025,-0.005,0.05,-0.424,-0.126,-12.69,-0.007,-0.105,-0.005,-0.174,-0.003,1.419,-0.018,-1.684,0.586,-0.137,-1.711,0.0,-0.132,-0.055,-3.176,-0.006,-0.063,0.0,-0.158,-0.562,-0.133,11.394,-0.001,-0.083,0.001,0.039,-0.061,1.382,-0.125,-2.278,-0.707,-0.056,2.029,-0.008,0.139,0.086,11.812,0.0,0.099,0.003,0.056,1.847
gma-miR4413b,0.163,-3.492,0.003,0.097,0.004,0.228,0.048,-1.737,-0.048,-0.242,-0.215,0.163,0.042,-0.0,0.073,0.109,2.462,0.008,0.088,0.0,0.09,0.736,-0.154,-3.283,-0.002,0.04,-0.002,0.037,-0.074,-0.458,0.042,0.676,-0.035,-0.015,-0.714,0.033,-0.11,-0.115,-2.69,-0.003,-0.081,0.002,-0.092,-0.835,-0.173,-22.283,-0.002,-0.024,-0.005,0.086,-0.012,-1.731,-0.316,-0.706,-0.14,-0.016,-3.699,0.004,-0.086,-0.266,-23.7,-0.009,-0.206,-0.034,-0.125,-4.086
gma-miR4415a-5p,0.144,-13.96,-0.001,0.042,0.003,0.127,0.089,-0.592,-0.093,-0.224,-0.043,0.108,-1.78,-0.002,0.064,-0.021,-3.256,0.005,-0.031,-0.002,-0.011,-0.466,-0.137,4.967,-0.002,-0.012,-0.003,-0.108,-0.018,-0.048,-0.041,-2.526,-0.841,-0.108,0.429,-0.002,0.041,-0.093,-4.935,-0.006,-0.049,0.003,-0.088,-0.824,-0.028,22.403,0.003,-0.012,0.0,-0.096,0.08,2.4,0.111,-1.861,-0.566,-0.022,3.488,0.011,0.074,0.198,17.277,0.001,0.167,0.03,0.062,3.165
gma-miR5038a,0.199,1.113,0.001,0.277,0.01,0.396,0.105,-0.414,-0.05,-0.072,-1.123,0.252,1.222,-0.0,0.172,0.351,7.655,0.016,0.273,0.001,0.263,2.223,0.117,-1.194,0.001,0.015,-0.002,0.067,0.0,-0.268,0.141,-0.936,2.661,-0.012,-0.376,-0.013,-0.067,0.024,-1.123,0.001,0.003,-0.014,0.056,-0.225,0.084,-23.855,0.001,-0.043,-0.006,-0.006,0.0,-1.329,0.044,-1.91,1.807,-0.248,-4.433,-0.039,-0.158,-0.265,-19.816,-0.004,-0.272,-0.046,-0.118,-3.64
gma-miR5375,0.11,-7.065,-0.001,0.06,0.005,0.26,-0.005,-1.433,-0.147,-0.375,0.056,0.14,-0.619,0.0,0.17,0.047,-2.11,0.006,0.037,0.001,0.05,-0.071,0.011,10.71,0.0,-0.032,0.002,0.063,-0.011,0.748,-0.064,2.053,0.37,0.021,1.498,-0.008,0.074,-0.018,-0.612,0.004,0.024,-0.002,-0.013,-0.133,0.103,-9.85,-0.001,-0.033,0.003,-0.089,0.15,-2.004,0.163,1.344,-0.533,0.056,-0.853,-0.031,0.078,0.136,3.567,0.006,0.118,-0.023,0.153,0.924
gma-miR862a,0.225,-5.2,0.001,0.06,0.012,0.428,0.04,-0.139,-0.046,-0.35,-0.046,0.227,-0.446,-0.001,0.095,0.111,2.166,0.017,0.059,0.003,0.085,0.68,-0.079,-20.836,-0.002,-0.032,0.008,0.142,-0.058,-0.252,-0.038,0.711,0.132,0.082,-3.175,0.007,-0.179,-0.14,2.56,0.012,-0.154,0.003,-0.132,-0.095,-0.028,-6.147,-0.002,-0.022,0.003,-0.072,0.111,0.053,-0.032,0.25,-0.702,0.067,-0.405,-0.015,0.033,0.132,6.161,0.007,0.085,-0.005,0.078,1.378
gma-miR156k,0.072,-28.516,0.0,0.102,0.003,0.116,-0.017,-1.256,-0.073,-0.643,-0.012,0.116,-3.546,-0.0,0.036,-0.017,-4.219,0.004,-0.06,-0.003,0.0,-0.61,-0.035,9.929,0.001,-0.003,-0.001,-0.015,0.129,-1.027,-0.087,1.032,-0.187,-0.029,1.303,0.026,-0.032,0.004,2.011,-0.003,0.042,-0.002,-0.003,0.266,0.068,-28.959,-0.004,-0.062,0.0,0.164,-0.121,0.418,0.007,-6.489,-2.3,-0.031,-4.474,0.04,0.068,-0.164,-12.263,0.0,-0.181,0.017,-0.065,-2.307
gma-miR156o,0.072,-28.516,0.0,0.102,0.003,0.116,-0.017,-1.256,-0.073,-0.643,-0.012,0.116,-3.546,-0.0,0.036,-0.017,-4.219,0.004,-0.06,-0.003,0.0,-0.61,-0.035,9.929,0.001,-0.003,-0.001,-0.015,0.129,-1.027,-0.087,1.032,-0.187,-0.029,1.303,0.026,-0.032,0.004,2.011,-0.003,0.042,-0.002,-0.003,0.266,0.068,-28.959,-0.004,-0.062,0.0,0.164,-0.121,0.418,0.007,-6.489,-2.3,-0.031,-4.474,0.04,0.068,-0.164,-12.263,0.0,-0.181,0.017,-0.065,-2.307
gma-miR159a-5p,0.224,-4.96,-0.001,0.249,0.012,0.404,0.061,-0.372,-0.231,-0.673,-0.19,0.161,-0.267,0.001,0.075,0.134,1.842,0.019,0.089,0.007,0.094,0.744,-0.123,9.704,-0.002,-0.015,-0.005,-0.029,-0.269,0.2,0.046,0.912,0.434,-0.219,1.576,0.014,-0.012,0.069,14.677,-0.005,0.077,0.011,-0.018,2.308,-0.248,15.239,0.0,-0.102,-0.011,-0.272,-0.238,0.137,-0.13,-1.824,-1.863,-0.232,2.867,0.02,0.009,0.298,15.757,-0.016,0.241,0.024,0.146,3.372
gma-miR159b-5p,0.161,-2.93,-0.003,0.26,0.01,0.355,0.111,-0.88,-0.139,-0.33,0.355,0.119,-0.321,0.001,0.094,0.044,-1.068,0.016,0.001,0.007,0.042,-0.002,-0.085,-11.953,0.0,-0.003,0.0,-0.038,-0.216,1.704,0.05,-1.114,-0.159,-0.208,-2.181,0.002,-0.047,-0.162,-5.299,0.0,-0.152,0.001,-0.117,-1.236,-0.149,-5.383,-0.001,-0.121,-0.007,-0.347,-0.207,0.339,-0.142,1.418,-0.825,-0.192,-0.916,-0.009,-0.087,-0.031,-7.184,-0.01,-0.031,-0.007,0.0,-1.072
gma-miR159e-5p,0.222,-6.554,-0.0,0.247,0.012,0.435,0.049,-0.276,-0.203,-0.722,-0.195,0.139,-0.5,0.0,0.093,0.146,1.675,0.02,0.088,0.007,0.105,0.763,-0.144,12.508,-0.002,-0.033,-0.001,-0.075,-0.242,0.308,-0.017,-2.647,-0.963,-0.206,1.907,0.004,0.003,0.065,3.843,0.0,0.08,0.004,-0.01,0.979,-0.278,15.769,0.0,-0.125,-0.007,-0.396,-0.149,0.334,-0.089,-1.844,-1.947,-0.156,3.004,0.022,0.028,0.344,18.378,-0.009,0.267,0.027,0.17,3.895
gma-miR166i-5p,0.185,-4.183,0.0,0.056,0.007,0.278,0.065,-1.021,-0.254,-0.787,-0.029,0.111,-0.239,-0.0,0.074,0.065,-4.265,0.012,0.049,0.004,0.056,-0.27,-0.023,-25.086,-0.002,-0.059,-0.001,-0.176,-0.033,-2.252,0.127,-1.461,-0.119,-0.059,-3.895,-0.022,-0.291,-0.211,-9.994,0.002,-0.197,-0.026,-0.173,-2.048,-0.052,-17.895,0.0,0.0,-0.003,-0.25,-0.035,-1.807,-0.1,6.833,-1.92,-0.062,-2.855,-0.026,-0.184,-0.128,-3.954,-0.002,-0.135,-0.045,-0.122,-0.942
gma-miR167j,0.091,-17.605,-0.002,0.091,0.004,0.155,0.058,-0.649,0.017,-0.972,-0.617,0.086,-2.413,-0.004,-0.014,0.017,-4.736,0.007,-0.039,-0.007,0.05,-0.662,-0.096,-7.889,0.0,-0.126,-0.005,-0.053,-0.012,-0.281,0.035,2.693,0.467,-0.02,-1.722,-0.01,-0.152,-0.17,-4.543,-0.009,-0.202,0.003,-0.111,-1.262,0.019,27.55,0.002,0.043,-0.004,0.068,-0.071,-0.174,0.049,3.505,0.688,-0.022,4.7,-0.041,0.074,0.247,4.463,-0.008,0.308,-0.021,0.176,1.41
gma-miR169l-5p,0.197,1.02,-0.002,0.179,0.006,0.24,0.17,0.839,-0.111,-0.392,-0.885,0.156,1.059,-0.0,0.159,0.264,4.276,0.009,0.23,0.012,0.265,1.418,0.036,-23.64,-0.001,-0.112,-0.001,-0.129,-0.021,-1.505,-0.022,-1.898,2.425,-0.036,-4.0,-0.013,-0.152,-0.215,-15.167,-0.001,-0.237,-0.016,-0.014,-3.004,0.195,-22.513,0.002,-0.09,0.003,-0.125,-0.09,-2.79,0.049,-2.12,4.094,-0.038,-3.953,-0.031,-0.128,-0.206,-17.373,0.005,-0.213,-0.04,-0.053,-3.266
gma-miR319l,0.14,-6.157,-0.001,0.17,0.015,0.59,0.05,0.733,-0.129,-0.58,0.108,0.175,-0.701,-0.001,0.26,0.037,-1.195,0.02,0.008,0.003,0.035,-0.016,-0.116,-1.609,0.001,0.074,0.004,0.311,-0.263,-0.975,0.017,0.621,-0.064,-0.105,-0.132,0.016,-0.005,-0.058,10.763,0.005,-0.037,0.008,-0.116,1.365,-0.067,12.284,0.001,0.078,-0.002,0.228,-0.167,-0.219,-0.028,3.311,-1.482,-0.056,2.565,0.011,0.072,0.238,16.184,-0.005,0.223,0.017,0.111,3.063
gma-miR396h,0.191,-5.734,-0.001,0.093,0.012,0.296,0.284,-0.534,-0.062,-0.593,-0.106,0.333,-0.687,-0.002,0.049,0.045,-0.677,0.015,0.0,0.001,0.043,0.072,-0.033,11.505,0.001,-0.059,0.0,0.02,0.124,-1.183,-0.15,2.471,0.048,0.059,1.25,-0.013,-0.065,-0.143,-10.557,-0.004,-0.082,-0.011,-0.085,-1.945,-0.132,0.602,0.002,0.042,-0.005,-0.125,0.069,1.65,0.221,1.333,0.031,0.0,0.422,-0.012,-0.069,0.046,2.118,-0.008,0.034,0.008,0.028,0.45
gma-miR408b-5p,0.136,0.918,0.002,0.08,0.002,0.111,0.25,-0.996,-0.099,-0.123,-0.135,0.049,0.406,-0.001,0.272,0.119,0.046,0.003,0.075,0.002,0.093,0.381,-0.092,-9.195,-0.001,-0.092,-0.001,-0.092,-0.216,3.038,-0.077,-0.99,-1.167,0.0,-1.712,-0.003,-0.248,-0.131,-3.022,0.0,-0.154,0.0,-0.118,-0.782,-0.097,-10.219,-0.001,-0.097,0.0,-0.042,-0.25,-1.831,0.027,-0.483,-1.141,0.0,-1.434,0.026,-0.34,-0.03,0.631,0.001,-0.049,0.002,-0.021,0.096
