,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
ppe-miR477b-3p,0.042,13.625,0.002,0.127,0.014,0.526,0.119,1.896,0.04,-0.233,0.616,0.443,3.212,0.002,0.463,0.464,15.951,0.014,0.364,0.019,0.335,3.662,-0.012,3.718,0.002,0.023,0.008,0.222,0.073,1.487,-0.074,-0.436,-0.536,0.216,1.082,0.003,0.155,0.13,3.943,0.009,0.119,0.011,0.076,1.033,-0.012,-22.738,-0.001,-0.034,0.004,-0.118,0.108,0.229,-0.124,-1.663,-2.06,0.037,-3.119,-0.023,-0.077,-0.101,-12.92,0.007,-0.089,-0.012,-0.028,-1.946
gma-miR1513a-3p,0.27,2.149,0.003,0.039,0.004,0.129,0.141,-2.466,0.278,-0.127,0.081,0.098,0.831,-0.002,0.177,0.224,11.272,0.006,0.174,0.002,0.177,2.387,-0.067,-13.269,0.003,-0.01,-0.002,-0.164,-0.148,-0.626,0.131,-0.624,2.072,-0.067,-2.257,-0.015,-0.064,-0.107,-2.879,-0.003,-0.105,-0.025,-0.014,-0.853,-0.193,-7.106,-0.003,-0.01,-0.004,-0.221,-0.206,-3.51,0.122,0.333,2.263,-0.028,-1.645,0.0,-0.173,-0.192,-11.897,-0.007,-0.169,-0.029,-0.068,-2.369
lja-miR1120-3p,0.14,5.918,0.004,0.058,0.008,0.322,-0.045,-0.468,0.023,-0.269,0.386,0.202,2.062,0.001,0.339,0.375,12.996,0.011,0.327,0.014,0.384,3.077,-0.056,11.622,0.002,-0.035,0.004,0.087,-0.19,-0.993,-0.175,1.571,0.344,0.165,2.594,-0.002,0.1,0.223,5.405,0.003,0.236,0.012,0.203,1.563,0.041,5.133,0.0,-0.036,0.0,-0.041,0.095,0.924,0.189,1.382,0.148,0.195,1.243,-0.017,0.086,0.154,2.092,0.001,0.146,0.002,0.205,0.719
mdm-miR10997,0.091,-2.974,0.006,0.191,0.007,0.18,0.263,-0.853,0.034,-0.31,0.059,0.352,0.336,-0.001,0.072,0.209,6.534,0.007,0.162,0.007,0.213,1.62,-0.123,0.691,0.001,-0.02,-0.008,-0.178,-0.056,-2.951,-0.318,7.383,-1.09,-0.018,-0.407,-0.014,-0.035,-0.19,-13.54,-0.011,-0.115,-0.047,-0.108,-2.573,-0.158,-2.764,-0.002,-0.115,-0.011,-0.266,-0.059,0.1,-0.142,6.412,-1.486,-0.077,-1.373,-0.015,-0.037,-0.288,-18.179,-0.013,-0.236,-0.033,-0.198,-3.568
aly-miR395c-5p,0.163,-1.506,0.002,0.233,0.007,0.144,0.211,-1.138,-0.125,-1.327,0.584,0.252,0.403,-0.001,0.028,0.236,4.413,0.01,0.182,0.006,0.271,1.39,-0.05,2.528,-0.002,-0.032,-0.002,0.041,-0.327,-0.43,0.133,1.123,0.196,-0.301,0.185,0.014,-0.026,-0.048,10.07,0.001,-0.025,0.012,-0.102,1.23,-0.111,9.675,-0.003,-0.173,-0.003,-0.015,-0.402,1.466,-0.013,-2.529,-0.528,-0.384,1.478,0.014,-0.028,-0.037,0.989,-0.001,-0.009,0.012,-0.18,0.212
osa-miR1431,0.042,-8.227,-0.002,0.274,0.005,0.177,0.089,-1.191,-0.124,-2.161,-0.188,0.341,-0.243,0.002,0.075,0.288,7.072,0.006,0.201,0.011,0.302,1.905,-0.012,14.389,-0.002,0.067,-0.006,-0.202,-0.056,-0.965,-0.013,1.409,-0.946,-0.12,1.717,0.026,-0.199,-0.107,-5.243,-0.005,-0.064,0.01,-0.07,-1.11,-0.012,-4.518,-0.002,0.012,-0.005,-0.05,-0.05,-2.444,0.048,-0.248,0.263,-0.322,-0.607,0.035,-0.053,0.072,7.52,-0.004,-0.02,0.013,-0.062,1.295
mtr-miR5252,0.144,-24.06,-0.001,0.116,0.008,0.357,-0.017,-0.513,-0.035,-0.861,-0.033,0.064,-3.399,-0.003,0.086,-0.028,-5.787,0.013,-0.087,-0.004,0.0,-0.87,-0.096,13.833,-0.002,0.067,-0.005,0.0,-0.088,-1.118,-0.072,0.558,-0.153,-0.099,1.995,0.031,-0.044,0.026,6.469,-0.008,0.057,0.005,0.0,0.959,-0.13,8.416,0.001,0.012,-0.009,-0.105,-0.093,-1.696,-0.069,2.526,0.085,-0.105,1.307,0.025,0.046,0.015,3.89,-0.016,0.031,0.001,0.0,0.542
pab-miR11551a,0.17,4.326,0.001,0.39,0.009,0.198,0.377,-0.555,0.028,-1.07,0.348,0.448,1.488,0.004,0.075,0.408,12.845,0.012,0.276,0.025,0.385,3.11,0.021,3.49,-0.002,0.253,0.008,0.021,0.255,1.411,-0.142,0.379,-0.446,0.258,0.981,0.011,-0.063,0.155,10.901,0.013,0.116,0.029,0.084,2.09,-0.033,1.077,-0.007,0.211,0.007,-0.033,0.342,-0.26,-0.232,1.861,0.165,0.211,0.348,0.035,-0.067,-0.008,9.199,0.013,-0.004,0.018,-0.078,1.256
lja-miR11131-3p,0.154,-15.745,0.0,0.028,0.005,0.173,0.173,-0.397,0.054,-0.083,-0.133,0.182,-2.016,-0.001,0.056,-0.039,0.814,0.007,-0.047,-0.002,-0.028,-0.039,-0.131,7.672,-0.003,-0.029,-0.005,-0.288,0.039,-0.095,-0.278,-2.941,-0.955,-0.147,0.73,0.0,-0.118,-0.141,-9.163,-0.007,-0.068,0.003,-0.147,-1.51,-0.021,-17.394,0.001,-0.031,-0.003,-0.229,-0.097,-0.27,0.104,-3.625,-0.533,-0.118,-2.39,-0.037,-0.062,-0.007,-13.812,-0.003,-0.043,-0.02,0.031,-1.729
gma-miR5785,0.186,-4.848,-0.002,0.157,0.006,0.182,0.136,-0.972,-0.118,-0.69,-0.278,0.178,-0.553,0.002,0.079,0.016,-1.284,0.01,0.0,0.013,0.041,-0.077,0.069,-8.268,-0.003,-0.074,0.004,-0.052,0.048,-1.985,-0.016,-1.498,1.914,0.186,-1.388,-0.013,-0.128,-0.118,-5.174,0.005,-0.082,-0.021,-0.097,-1.162,0.073,0.867,-0.002,-0.077,0.006,-0.007,-0.05,-2.915,-0.11,4.573,0.863,0.175,-0.584,-0.024,-0.105,-0.172,-10.276,0.007,-0.137,-0.057,-0.1,-2.143
lja-miR11136-5p,0.19,-5.718,-0.001,0.04,0.008,0.193,0.01,0.158,-0.043,0.07,-0.059,0.102,-0.371,0.0,0.153,0.098,5.167,0.01,0.07,0.005,0.092,0.99,0.042,-0.157,-0.001,-0.011,-0.004,-0.218,0.042,-1.765,-0.102,0.761,-0.103,-0.203,-0.722,0.022,-0.155,-0.246,-10.042,-0.004,-0.167,-0.008,-0.166,-2.106,-0.011,4.372,-0.001,-0.011,-0.008,-0.128,0.061,-0.38,-0.014,1.861,0.329,-0.044,0.988,0.032,-0.083,0.126,8.607,-0.01,0.107,0.014,0.078,1.513
csi-miR12108-5p,0.36,3.877,0.009,0.124,0.013,0.351,0.318,-2.148,0.185,-1.347,0.1,0.426,1.351,0.001,0.081,0.328,13.77,0.015,0.239,0.009,0.322,3.015,0.119,6.595,0.002,0.035,0.005,0.121,0.045,-0.024,0.125,0.727,-0.076,0.065,1.537,0.021,-0.043,0.162,15.064,0.005,0.159,0.003,0.084,2.627,-0.095,7.981,0.005,0.055,-0.002,-0.027,-0.202,-1.321,0.006,-3.391,-1.13,-0.182,1.122,0.021,0.055,0.072,-3.173,-0.003,0.061,0.017,0.123,-0.037
osa-miR818f,0.014,1.372,-0.002,0.163,0.001,0.147,0.053,-0.816,0.036,-0.684,-0.445,0.094,0.953,0.001,0.188,0.169,2.644,0.001,0.161,0.004,0.136,0.917,-0.152,-18.072,-0.001,-0.05,-0.001,0.029,-0.056,-0.087,-0.093,1.778,-0.501,-0.012,-2.978,0.03,-0.146,-0.233,1.625,-0.002,-0.225,0.007,-0.222,-0.418,0.043,-8.949,0.0,-0.111,0.0,0.133,0.0,-0.846,-0.121,1.941,1.943,-0.071,-1.861,0.014,0.074,-0.117,-2.589,-0.001,-0.13,-0.012,-0.046,-0.786
lja-miR11069-5p,0.121,-18.352,0.0,0.149,0.009,0.332,0.104,-0.902,-0.076,-0.408,0.01,0.121,-2.188,0.001,0.09,-0.011,-1.755,0.014,-0.021,-0.001,0.0,-0.291,-0.011,-0.418,0.006,0.07,0.002,-0.011,0.11,-0.535,0.044,-1.401,-0.138,0.066,-0.421,-0.019,-0.029,-0.109,-7.416,0.004,-0.087,-0.016,-0.063,-1.363,0.039,-21.47,-0.002,-0.02,-0.004,-0.2,0.051,-2.293,0.021,6.992,-1.419,0.004,-3.136,-0.022,-0.098,-0.084,-4.804,-0.007,-0.105,-0.051,-0.067,-1.046
ath-miR5024-5p,0.098,1.838,0.001,0.16,0.001,0.077,0.125,-1.8,-0.012,0.19,-0.546,0.125,1.377,-0.001,0.14,0.271,8.116,0.002,0.273,-0.003,0.25,2.039,-0.055,-7.985,-0.001,-0.095,-0.001,-0.111,-0.05,1.069,-0.087,-0.705,1.187,0.042,-1.394,-0.002,-0.095,-0.041,-10.533,-0.002,-0.065,0.0,0.039,-1.737,-0.172,-9.594,-0.002,-0.156,-0.001,-0.189,-0.133,3.71,0.072,0.678,0.674,-0.011,-1.59,0.009,-0.133,-0.012,-0.171,-0.002,-0.098,0.02,0.028,-0.161
lja-miR5287c-3p,0.095,2.371,0.003,0.165,0.006,0.271,0.085,-0.587,0.038,-0.378,0.308,0.322,1.48,0.001,0.308,0.378,10.261,0.006,0.312,0.019,0.405,2.688,-0.043,7.51,0.004,-0.004,-0.003,0.045,-0.139,1.222,-0.049,-0.933,0.602,0.18,1.834,0.005,0.132,0.24,3.243,-0.004,0.2,0.023,0.232,1.188,-0.095,0.14,-0.001,-0.055,-0.001,-0.002,-0.173,0.859,-0.024,-1.164,2.799,0.207,0.439,-0.008,0.089,0.102,-2.908,-0.004,0.089,0.003,0.143,-0.071
ath-miR4221,0.16,-4.509,0.0,0.17,0.009,0.275,0.1,-0.217,-0.169,-0.263,-0.016,0.143,-0.359,0.001,0.075,0.139,0.133,0.013,0.076,0.005,0.113,0.513,0.011,-8.201,-0.001,0.021,0.002,0.026,-0.079,-1.289,0.031,0.5,-0.367,-0.15,-1.656,0.024,-0.026,-0.165,-6.987,0.004,-0.142,-0.004,-0.092,-1.582,-0.044,7.709,0.003,0.022,-0.001,-0.028,-0.111,-0.674,0.153,0.514,-0.117,-0.142,1.043,0.036,0.028,0.05,9.221,-0.002,0.043,0.01,0.014,1.393
lja-miR11102-3p,0.089,-6.043,0.0,-0.003,0.005,0.208,0.053,-0.936,-0.079,-0.039,-0.173,0.233,-0.014,-0.004,0.119,0.192,1.138,0.005,0.171,-0.003,0.169,0.908,-0.199,-26.661,-0.002,-0.003,-0.002,-0.102,-0.167,-1.789,0.05,-0.974,2.844,0.009,-4.255,-0.015,-0.096,-0.245,-9.99,-0.005,-0.2,-0.032,-0.099,-2.445,-0.108,10.795,0.0,-0.003,-0.003,-0.214,-0.059,-1.129,-0.081,2.019,3.005,-0.006,0.71,-0.025,0.015,-0.168,-17.845,-0.004,-0.105,-0.023,-0.046,-3.072
eun-miR10222-3p,0.039,2.829,0.0,0.091,0.004,0.155,0.166,-0.461,-0.011,-0.834,-0.548,0.249,1.12,-0.004,0.139,0.229,4.727,0.005,0.194,0.0,0.208,1.453,-0.181,10.58,0.001,-0.096,-0.006,-0.17,-0.003,-0.75,0.025,-2.588,-1.023,0.07,1.521,-0.001,-0.132,0.079,0.229,-0.008,0.028,0.01,0.05,0.469,-0.102,16.662,0.002,0.105,0.002,0.053,-0.062,0.288,0.119,-2.83,-2.775,0.192,3.685,-0.01,-0.08,0.403,18.015,0.002,0.311,0.014,0.226,3.882
cre-miR914,0.166,-12.549,-0.001,0.199,0.003,0.194,0.047,-1.69,-0.029,-3.776,-0.59,0.061,-1.48,0.0,0.205,0.158,-4.001,0.006,0.078,-0.006,0.296,-0.121,0.009,5.79,0.0,-0.067,-0.002,-0.061,-0.111,0.304,-0.063,1.424,0.354,-0.047,1.274,0.033,-0.018,0.08,5.43,-0.003,0.15,0.018,0.099,1.018,-0.05,8.568,-0.003,-0.13,-0.004,-0.17,0.006,0.141,0.105,-3.294,-1.136,0.009,1.517,0.042,-0.031,0.078,6.73,-0.009,0.094,0.015,0.056,1.295
fve-miR11293,0.14,-4.071,-0.002,0.143,0.014,0.49,0.13,0.0,-0.188,-0.19,-0.473,0.203,-0.662,-0.002,0.16,-0.027,-4.973,0.02,-0.036,-0.006,-0.008,-0.707,-0.063,-8.761,-0.001,-0.016,0.009,0.253,-0.089,1.411,-0.02,-1.295,-0.684,0.084,-1.672,0.004,0.011,-0.222,-9.32,0.011,-0.182,-0.005,-0.163,-1.951,-0.011,11.116,0.002,0.142,0.006,0.044,0.167,0.453,0.169,-0.172,-0.6,0.231,2.455,0.041,-0.044,0.26,13.826,0.008,0.228,0.033,0.164,2.712
gma-miR9737,0.29,-3.795,0.0,0.095,0.002,0.1,0.15,-1.246,-0.01,-0.3,-0.477,0.113,-0.183,-0.004,0.12,0.169,2.749,0.005,0.103,-0.002,0.142,0.891,0.095,-10.213,-0.002,-0.005,-0.005,-0.108,0.108,-2.507,-0.191,0.395,-0.143,-0.105,-1.68,0.021,-0.003,-0.063,-8.055,-0.006,-0.074,-0.003,-0.016,-1.338,0.044,15.837,0.001,-0.061,0.001,0.05,-0.047,1.797,-0.124,2.25,-0.092,-0.069,2.661,0.026,0.139,0.113,15.851,-0.001,0.15,0.01,0.031,2.48
bdi-miR7774-3p,0.318,-8.507,0.007,0.14,0.007,0.285,0.227,-0.495,-0.149,-1.746,0.569,0.202,-0.269,0.0,0.339,0.381,6.034,0.011,0.251,0.014,0.409,2.055,-0.022,16.582,-0.002,-0.091,0.001,-0.065,-0.19,-1.647,0.152,-0.539,2.406,-0.121,2.588,-0.01,0.147,0.101,7.781,0.0,0.127,-0.027,0.0,1.301,-0.173,-28.221,-0.003,-0.077,-0.004,-0.209,-0.3,-2.146,-0.011,-3.427,3.896,-0.127,-4.618,-0.019,0.036,-0.245,-16.384,-0.007,-0.236,-0.029,-0.1,-3.162
osa-miR2878-3p,0.163,-1.115,0.002,0.033,0.008,0.312,0.215,-1.508,0.15,-0.029,0.058,0.339,0.412,0.0,0.14,0.177,7.172,0.009,0.123,0.007,0.136,1.648,-0.074,-8.412,-0.002,-0.013,0.004,0.11,0.082,1.883,-0.004,0.892,0.195,0.165,-1.205,0.007,-0.074,-0.017,7.595,0.005,-0.053,0.007,-0.024,0.965,-0.077,-9.622,0.002,-0.014,-0.001,-0.111,0.023,-1.531,-0.091,-0.241,0.556,0.023,-1.33,-0.019,-0.091,-0.056,-7.689,0.0,-0.055,-0.013,-0.025,-1.104
gra-miR8639h,0.039,-2.756,0.001,0.058,0.001,0.087,0.091,-1.359,-0.031,-0.165,-0.138,0.124,-0.18,0.0,0.05,0.027,-0.412,0.001,0.025,-0.001,0.033,0.072,-0.223,-5.54,-0.005,-0.035,-0.002,-0.251,-0.095,1.09,-0.084,0.688,0.453,-0.108,-0.912,0.006,0.004,-0.049,0.816,-0.005,-0.06,0.008,-0.061,-0.078,-0.061,-0.495,-0.001,-0.036,-0.002,-0.173,0.05,-3.096,-0.08,1.277,0.116,-0.114,-0.135,0.029,0.055,0.01,1.519,-0.003,0.004,0.003,-0.014,0.234
pla-miR11606,0.169,3.579,0.0,0.197,0.006,0.208,0.155,-1.157,-0.219,-1.208,0.226,0.091,1.07,0.0,0.277,0.207,0.342,0.009,0.161,0.005,0.211,0.809,-0.099,-2.367,0.0,0.041,-0.004,-0.12,-0.009,-0.642,0.155,-1.968,-0.681,-0.181,-0.195,-0.003,0.129,0.062,7.43,-0.005,0.029,0.002,-0.05,1.399,-0.223,6.544,-0.003,-0.074,-0.008,-0.189,0.102,-0.393,-0.084,-2.288,-0.658,-0.22,0.7,0.03,0.167,-0.044,-4.09,-0.013,-0.042,0.014,-0.167,-0.461
smo-miR1099,0.213,4.057,0.003,0.036,0.009,0.152,0.247,-1.821,0.086,-0.416,0.244,0.313,1.228,0.0,0.144,0.262,9.236,0.008,0.195,0.004,0.199,2.194,0.082,-12.195,0.0,-0.018,0.008,0.102,0.219,2.319,0.097,-0.629,0.592,0.216,-2.294,-0.009,-0.07,-0.18,-8.278,0.008,-0.182,0.0,-0.123,-1.666,0.111,-14.641,-0.005,-0.019,0.009,0.223,0.189,1.021,-0.189,1.328,0.971,0.167,-3.068,0.015,-0.133,-0.375,-14.648,0.009,-0.317,-0.011,-0.248,-3.271
bdi-miR1122,0.136,-3.432,0.002,0.167,0.007,0.222,0.111,-1.922,-0.002,-0.198,-0.189,0.185,0.19,0.002,0.16,0.195,5.334,0.009,0.144,0.014,0.216,1.396,0.059,-15.275,-0.003,0.0,-0.001,-0.124,-0.059,-0.163,-0.03,-1.111,2.623,-0.098,-3.116,-0.015,-0.101,-0.29,-12.852,0.001,-0.249,-0.025,-0.199,-2.75,0.035,-2.097,-0.003,0.063,-0.004,-0.201,0.125,-4.566,-0.041,-0.694,2.974,-0.042,-1.114,0.017,-0.146,-0.31,-14.465,-0.005,-0.202,-0.036,-0.229,-3.025
osa-miR1850.3,0.15,-2.341,0.0,0.07,0.006,0.11,0.25,-0.696,0.094,-0.13,-0.061,0.185,-0.356,-0.002,0.06,0.0,0.586,0.007,-0.016,-0.001,0.01,0.054,-0.053,0.6,-0.003,-0.032,-0.01,-0.216,-0.055,-1.373,-0.113,2.2,0.111,-0.129,-0.323,-0.013,-0.032,-0.172,-6.874,-0.013,-0.102,-0.013,-0.113,-1.496,-0.056,4.645,0.001,0.022,-0.011,-0.133,-0.064,-1.398,-0.022,1.367,0.137,-0.089,0.473,-0.041,-0.022,-0.087,-11.193,-0.016,-0.05,-0.024,-0.028,-1.798
sly-miR6027-3p,0.203,-4.999,0.0,0.14,0.008,0.25,0.035,-0.384,-0.089,-0.422,-0.523,0.06,0.066,-0.002,0.175,0.246,3.577,0.011,0.199,0.007,0.285,1.313,-0.026,-12.284,-0.001,-0.168,-0.001,-0.079,-0.074,-1.614,-0.049,-1.35,-1.394,-0.2,-2.267,0.001,-0.011,-0.194,1.844,-0.002,-0.18,-0.01,-0.179,-0.281,-0.033,6.798,-0.003,-0.067,0.001,-0.111,0.144,-0.307,0.011,-2.028,-2.891,-0.1,0.508,0.008,-0.067,-0.173,4.898,0.002,-0.126,0.014,-0.244,0.206
ppe-miR8131-5p,0.116,-8.463,-0.002,0.061,0.005,0.208,0.152,-0.165,-0.053,-0.748,-0.127,0.238,-0.858,-0.002,0.066,0.078,0.869,0.007,0.041,0.0,0.075,0.387,-0.155,6.62,0.001,0.009,-0.009,-0.281,-0.167,-2.043,-0.245,0.734,0.198,-0.211,0.561,0.024,-0.041,-0.124,-12.066,-0.014,-0.091,-0.007,-0.088,-2.114,-0.164,9.431,0.003,0.068,-0.014,-0.238,-0.229,-1.055,0.06,1.743,0.311,-0.359,1.27,0.034,0.015,0.012,9.001,-0.018,0.022,0.008,-0.034,1.197
